pricebook_entry_id,pricebook2id,product2id,unitprice,isactive,usestandardprice,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,isdeleted,isarchived
01uHp00000Pok5AIAR,01sHp000009XyZ4IAK,01tHp000009xIf5IAE,35000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5BIAR,01sHp000009XyZ4IAK,01tHp000009xIf6IAE,20000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5CIAR,01sHp000009XyZ4IAK,01tHp000009xIf7IAE,150000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5DIAR,01sHp000009XyZ4IAK,01tHp000009xIf8IAE,50000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5EIAR,01sHp000009XyZ5IAK,01tHp000009xIetIAE,25000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5FIAR,01sHp000009XyZ5IAK,01tHp000009xIeuIAE,5000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5GIAR,01sHp000009XyZ5IAK,01tHp000009xIevIAE,85000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5HIAR,01sHp000009XyZ5IAK,01tHp000009xIewIAE,20000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5IIAR,01sHp000009XyZ5IAK,01tHp000009xIexIAE,50000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5JIAR,01sHp000009XyZ5IAK,01tHp000009xIeyIAE,40000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5KIAR,01sHp000009XyZ5IAK,01tHp000009xIezIAE,15000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5LIAR,01sHp000009XyZ5IAK,01tHp000009xIf0IAE,120000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5MIAR,01sHp000009XyZ5IAK,01tHp000009xIesIAE,100000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5NIAR,01sHp000009XyZ5IAK,01tHp000009xIf1IAE,10000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5OIAR,01sHp000009XyZ5IAK,01tHp000009xIf2IAE,75000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5PIAR,01sHp000009XyZ5IAK,01tHp000009xIf3IAE,5000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5QIAR,01sHp000009XyZ5IAK,01tHp000009xIf4IAE,30000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5RIAR,01sHp000009XyZ5IAK,01tHp000009xIf5IAE,35000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5SIAR,01sHp000009XyZ5IAK,01tHp000009xIf6IAE,20000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5TIAR,01sHp000009XyZ5IAK,01tHp000009xIf7IAE,150000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
01uHp00000Pok5UIAR,01sHp000009XyZ5IAK,01tHp000009xIf8IAE,50000,1,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,0,0
