opportunity_id,opportunity_name,description,account_id,contact_id,campaign_id,owner_id,stage_name,stage_sort_order,forecast_category,forecast_category_name,is_closed,is_won,amount,probability,expected_revenue,total_opportunity_quantity,close_date,last_stage_change_date,last_activity_date,fiscal_year,fiscal_quarter,type,lead_source,next_step,has_opportunity_line_item,is_private,delivery_installation_status,tracking_number,order_number,current_generators,main_competitors,created_date,last_modified_date,system_modstamp
006Hp000015Yh7uIAC,Pyramid Emergency Generators,,001Hp00002g1VGdIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Prospecting,1,Pipeline,Pipeline,0,0,100000,10,10000,,2023-09-02 00:00:00,,,2015,1,,Phone Inquiry,,,0,,,,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7vIAC,Express Logistics Portable Truck Generators,,001Hp00002g1VGhIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Value Proposition,4,Pipeline,Pipeline,0,0,80000,50,40000,,2023-07-19 00:00:00,,,2015,1,Existing Customer - Upgrade,External Referral,,,0,Yet to begin,,,Fujitsu,Honda,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7wIAC,United Oil Installations,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Negotiation/Review,8,Pipeline,Pipeline,0,0,270000,90,243000,,2023-08-21 00:00:00,,,2015,1,Existing Customer - Upgrade,,,,0,Yet to begin,,,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7xIAC,Edge Installation,,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,50000,100,50000,,2023-08-15 00:00:00,,,2015,1,Existing Customer - Upgrade,Word of mouth,,,0,Completed,,835178,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7yIAC,Edge SLA,,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,60000,100,60000,,2023-07-11 00:00:00,,,2015,1,Existing Customer - Upgrade,Word of mouth,,,0,,,847564,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh7zIAC,United Oil Installations,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,270000,100,270000,,2023-08-20 00:00:00,,,2015,1,Existing Customer - Upgrade,Partner,,,0,In progress,,427609,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh80IAC,Grand Hotels Generator Installations,,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,350000,100,350000,,2023-10-07 00:00:00,,,2015,2,Existing Customer - Upgrade,External Referral,,,0,Completed,,763546,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh81IAC,United Oil Refinery Generators,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,915000,100,915000,,2023-10-02 00:00:00,,,2015,2,New Customer,Partner,,,0,Completed,830150301360,744343,John Deere,"John Deere, Mitsubishi, Hawkpower",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh82IAC,University of AZ Installations,,001Hp00002g1VGiIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Proposal/Price Quote,7,Pipeline,Pipeline,0,0,100000,75,75000,,2023-07-22 00:00:00,,,2015,1,Existing Customer - Upgrade,Employee Referral,,,0,Yet to begin,,,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh83IAC,Express Logistics SLA,,001Hp00002g1VGhIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Perception Analysis,6,Pipeline,Pipeline,0,0,120000,70,84000,,2023-07-20 00:00:00,,,2015,1,Existing Customer - Upgrade,External Referral,,,0,In progress,,,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh84IAC,University of AZ SLA,,001Hp00002g1VGiIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,90000,100,90000,,2023-07-29 00:00:00,,,2015,1,Existing Customer - Upgrade,Public Relations,,,0,In progress,,654985,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh85IAC,Burlington Textiles Weaving Plant Generator,,001Hp00002g1VGcIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,235000,100,235000,,2023-08-30 00:00:00,,,2015,1,New Customer,Web,,,0,Yet to begin,830150301360,645612,John Deere,John Deere,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh86IAC,United Oil Installations,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,235000,100,235000,,2023-09-01 00:00:00,,,2015,1,Existing Customer - Upgrade,External Referral,,,0,In progress,,554821,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh87IAC,United Oil Emergency Generators,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,440000,100,440000,,2023-08-14 00:00:00,,,2015,1,Existing Customer - Upgrade,External Referral,,,0,Completed,830150301420,847324,Fujitsu,"Honda, Mitsubishi",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh88IAC,Grand Hotels SLA,,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,90000,100,90000,,2023-07-18 00:00:00,,,2015,1,Existing Customer - Upgrade,External Referral,,,0,In progress,,254676,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh89IAC,Grand Hotels Emergency Generators,,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,210000,100,210000,,2023-10-05 00:00:00,,,2015,2,New Customer,External Referral,,,0,Completed,830150301360,387624,Fujitsu,Caterpillar,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh8AIAS,United Oil Plant Standby Generators,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Needs Analysis,3,Pipeline,Pipeline,0,0,675000,20,135000,,2023-09-18 00:00:00,,,2015,1,Existing Customer - Upgrade,,,,0,,,,Caterpillar,"Caterpillar, Mitsubishi, Hawkpower",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh8BIAS,Edge Emergency Generator,,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Id. Decision Makers,5,Pipeline,Pipeline,0,0,35000,60,21000,,2023-10-30 00:00:00,,,2015,2,Existing Customer - Replacement,,,,0,,,,,"John Deere, Mitsubishi, Hawkpower",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh8CIAS,United Oil Standby Generators,,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,120000,100,120000,,2023-10-17 00:00:00,,,2015,2,Existing Customer - Upgrade,External Referral,,,0,,830150301360,525476,John Deere,"John Deere, Mitsubishi, Hawkpower",2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh8DIAS,GenePoint Lab Generators,,001Hp00002g1VGlIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Id. Decision Makers,5,Pipeline,Pipeline,0,0,60000,60,36000,,2023-10-18 00:00:00,,,2015,2,,,,,0,Yet to begin,,,"Hawkpower, Fujitsu",Hawkpower,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
006Hp000015Yh8EIAS,GenePoint SLA,,001Hp00002g1VGlIAM,000000000000000AAA,000000000000000AAA,005Hp00000hnUYPIA2,Closed Won,9,Closed,Closed,1,1,30000,100,30000,,2023-10-21 00:00:00,,,2015,2,Existing Customer - Upgrade,Partner,,,0,In progress,,546512,,,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
