case_id,isdeleted,masterrecordid,casenumber,contactid,accountid,assetid,productid,entitlementid,sourceid,businesshoursid,parentid,suppliedname,suppliedemail,suppliedphone,suppliedcompany,type,status,reason,origin,subject,priority,description,isclosed,closeddate,isescalated,ownerid,isclosedoncreate,slastartdate,slaexitdate,isstopped,stopstartdate,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,servicecontractid,eventsprocesseddate,engineeringreqnumber__c,slaviolation__c,product__c,potentialliability__c
500Hp00001dGBnrIAG,0,,00001010,003Hp00002pTA6tIAG,001Hp00002g1VGkIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Feedback,Web,Maintenance guidelines for generator unclear,Low,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,658733,No,GC1060,No
500Hp00001dGBnsIAG,0,,00001011,003Hp00002pTA6uIAG,001Hp00002g1VGkIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electronic,Closed,Equipment Design,Web,Electronic panel fitting loose,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,965884,No,GC3020,No
500Hp00001dGBntIAG,0,,00001012,003Hp00002pTA6qIAG,001Hp00002g1VGiIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Breakdown,Web,Repeated motor breakdown while shutting off,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,347209,Yes,GC1020,Yes
500Hp00001dGBnuIAG,0,,00001013,003Hp00002pTA6lIAG,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Equipment Design,Web,Starting up generator consumes excessive power,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,654623,No,GC5020,No
500Hp00001dGBnvIAG,0,,00001014,003Hp00002pTA6lIAG,001Hp00002g1VGfIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,Closed,Installation,Phone,Delay in installation; spare parts unavailable,High,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,No,GC3020,Yes
500Hp00001dGBnwIAG,0,,00001015,003Hp00002pTA6uIAG,001Hp00002g1VGkIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Mechanical,Closed,Breakdown,Web,Frequent mechanical breakdown,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,354982,No,GC3060,Yes
500Hp00001dGBnxIAG,0,,00001016,003Hp00002pTA6vIAG,001Hp00002g1VGlIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Other,New,Feedback,Web,Maintenance guidelines for generator unclear,Low,,0,,0,005Hp00000hnUYPIA2,0,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,651375,No,GC5020,No
500Hp00001dGBnyIAG,0,,00001017,003Hp00002pTA6gIAG,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Mechanical,Closed,Equipment Complexity,Web,Shutting down of generator,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,736734,No,GC1040,No
500Hp00001dGBnzIAG,0,,00001018,003Hp00002pTA6gIAG,001Hp00002g1VGbIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Equipment Complexity,Phone,Cannot start generator after electrical failure,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,526714,No,GC1040,No
500Hp00001dGBo0IAG,0,,00001019,003Hp00002pTA6hIAG,001Hp00002g1VGcIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Structural,Closed,Equipment Design,Web,Structural failure of generator base,High,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,636265,No,GC5060,Yes
500Hp00001dGBo1IAG,0,,00001020,003Hp00002pTA6hIAG,001Hp00002g1VGcIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Performance,Phone,Power generation below stated level,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,237645,No,GC3060,Yes
500Hp00001dGBo2IAG,0,,00001021,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Structural,Closed,Installation,Phone,Generator GC3060 platform structure is weakening,High,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,435143,,GC3060,Yes
500Hp00001dGBo3IAG,0,,00001022,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electronic,Closed,Performance,Web,Signal panel on GC5060 blinks intermittently,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,456345,No,GC5060,No
500Hp00001dGBo4IAG,0,,00001023,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Other,Phone,Electric surge damaging adjacent equipment,High,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,265794,No,GC5060,No
500Hp00001dGBo5IAG,0,,00001024,003Hp00002pTA6nIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Mechanical,New,Equipment Design,Web,Design issue with mechanical rotor,Low,,0,,0,005Hp00000hnUYPIA2,0,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,868314,No,GC3040,No
500Hp00001dGBo6IAG,0,,00001025,003Hp00002pTA6nIAG,001Hp00002g1VGgIAM,000000000000000AAA,000000000000000AAA,,,01mHp0000004Z52IAE,000000000000000AAA,,,,,Electrical,Closed,Equipment Design,Phone,Motor design hindering performance,Medium,,1,2022-09-09 18:59:51,0,005Hp00000hnUYPIA2,1,,,0,,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,572546,No,GC5040,No
