opportunity_id,isdeleted,accountid,isprivate,name,description,stagename,stagesortorder,amount,probability,expectedrevenue,totalopportunityquantity,closedate,type,nextstep,leadsource,isclosed,iswon,forecastcategory,forecastcategoryname,campaignid,hasopportunitylineitem,pricebook2id,ownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastactivitydate,laststagechangedate,fiscalyear,fiscalquarter,contactid,primarypartneraccountid,contractid,lastamountchangedhistoryid,lastclosedatechangedhistoryid,deliveryinstallationstatus__c,trackingnumber__c,ordernumber__c,currentgenerators__c,maincompetitors__c
006Hp000015Yh82IAC,0,001Hp00002g1VGiIAM,0,University of AZ Installations,,Proposal/Price Quote,7,100000,75,75000,,2023-07-22 00:00:00,Existing Customer - Upgrade,,Employee Referral,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Yet to begin,,,,
006Hp000015Yh83IAC,0,001Hp00002g1VGhIAM,0,Express Logistics SLA,,Perception Analysis,6,120000,70,84000,,2023-07-20 00:00:00,Existing Customer - Upgrade,,External Referral,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,In progress,,,,
006Hp000015Yh84IAC,0,001Hp00002g1VGiIAM,0,University of AZ SLA,,Closed Won,9,90000,100,90000,,2023-07-29 00:00:00,Existing Customer - Upgrade,,Public Relations,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,In progress,,654985,,
006Hp000015Yh85IAC,0,001Hp00002g1VGcIAM,0,Burlington Textiles Weaving Plant Generator,,Closed Won,9,235000,100,235000,,2023-08-30 00:00:00,New Customer,,Web,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Yet to begin,830150301360,645612,John Deere,John Deere
006Hp000015Yh86IAC,0,001Hp00002g1VGgIAM,0,United Oil Installations,,Closed Won,9,235000,100,235000,,2023-09-01 00:00:00,Existing Customer - Upgrade,,External Referral,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,In progress,,554821,,
006Hp000015Yh87IAC,0,001Hp00002g1VGgIAM,0,United Oil Emergency Generators,,Closed Won,9,440000,100,440000,,2023-08-14 00:00:00,Existing Customer - Upgrade,,External Referral,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,Completed,830150301420,847324,Fujitsu,"Honda, Mitsubishi"
006Hp000015Yh88IAC,0,001Hp00002g1VGfIAM,0,Grand Hotels SLA,,Closed Won,9,90000,100,90000,,2023-07-18 00:00:00,Existing Customer - Upgrade,,External Referral,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,In progress,,254676,,
006Hp000015Yh89IAC,0,001Hp00002g1VGfIAM,0,Grand Hotels Emergency Generators,,Closed Won,9,210000,100,210000,,2023-10-05 00:00:00,New Customer,,External Referral,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Completed,830150301360,387624,Fujitsu,Caterpillar
006Hp000015Yh8AIAS,0,001Hp00002g1VGgIAM,0,United Oil Plant Standby Generators,,Needs Analysis,3,675000,20,135000,,2023-09-18 00:00:00,Existing Customer - Upgrade,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,1,000000000000000AAA,,,,,,,,Caterpillar,"Caterpillar, Mitsubishi, Hawkpower"
006Hp000015Yh8BIAS,0,001Hp00002g1VGbIAM,0,Edge Emergency Generator,,Id. Decision Makers,5,35000,60,21000,,2023-10-30 00:00:00,Existing Customer - Replacement,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,,,,,"John Deere, Mitsubishi, Hawkpower"
006Hp000015Yh8CIAS,0,001Hp00002g1VGgIAM,0,United Oil Standby Generators,,Closed Won,9,120000,100,120000,,2023-10-17 00:00:00,Existing Customer - Upgrade,,External Referral,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,,830150301360,525476,John Deere,"John Deere, Mitsubishi, Hawkpower"
006Hp000015Yh8DIAS,0,001Hp00002g1VGlIAM,0,GenePoint Lab Generators,,Id. Decision Makers,5,60000,60,36000,,2023-10-18 00:00:00,,,,0,0,Pipeline,Pipeline,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,Yet to begin,,,"Hawkpower, Fujitsu",Hawkpower
006Hp000015Yh8EIAS,0,001Hp00002g1VGlIAM,0,GenePoint SLA,,Closed Won,9,30000,100,30000,,2023-10-21 00:00:00,Existing Customer - Upgrade,,Partner,1,1,Closed,Closed,000000000000000AAA,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,2015,2,000000000000000AAA,,,,,In progress,,546512,,
